"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - As user I have be able to to get new user data from the register feature","FAILURE","2023-05-10T00:35:47.0672831+07:00[Asia/Jakarta]","0.0","0.25"
"Authentication","GET - As user I have be able to get user information","SUCCESS","2023-05-10T00:35:47.380334+07:00[Asia/Jakarta]","0.0","0.72"
"Products","POST - As user I have be able to create a new product","FAILURE","2023-05-10T00:35:49.2273484+07:00[Asia/Jakarta]","0.0","0.22"
"Products","GET - As user I have be able to get a product by ID","SUCCESS","2023-05-10T00:35:49.4669943+07:00[Asia/Jakarta]","0.0","0.25"
"Products","DELETE - As user I have be able to delete a product","FAILURE","2023-05-10T00:35:49.7326132+07:00[Asia/Jakarta]","0.0","0.29"
"Products","POST - As user I have be able to assign a product rating","FAILURE","2023-05-10T00:35:50.0557786+07:00[Asia/Jakarta]","0.0","0.43"
"Products","GET - As user I have be able to get product ratings","SUCCESS","2023-05-10T00:35:50.499104+07:00[Asia/Jakarta]","0.0","0.19"
"Products","POST - As user I have be able to create a comment for product","FAILURE","2023-05-10T00:35:50.7022228+07:00[Asia/Jakarta]","0.0","0.37"
"Products","GET - As user I have be able to get product comments","SUCCESS","2023-05-10T00:35:51.0849547+07:00[Asia/Jakarta]","0.0","0.2"
"Orders","POST - As user I have be able to to create a new order","FAILURE","2023-05-10T00:35:51.3039296+07:00[Asia/Jakarta]","0.0","0.42"
"Orders","GET - As user I have be able to get all orders","SUCCESS","2023-05-10T00:35:51.7365043+07:00[Asia/Jakarta]","0.0","0.53"
"Orders","GET - As user I have be able to get order by ID","SUCCESS","2023-05-10T00:35:52.2947764+07:00[Asia/Jakarta]","0.0","0.92"
"Product Categories","POST - As user I have be able to create a category","FAILURE","2023-05-10T00:35:53.2690243+07:00[Asia/Jakarta]","0.0","0.29"
"Product Categories","GET - As user I have be able to get category by ID","SUCCESS","2023-05-10T00:35:53.5883027+07:00[Asia/Jakarta]","0.0","0.27"
"Product Categories","GET - As user I have be able to get detail categories","SUCCESS","2023-05-10T00:35:53.8851699+07:00[Asia/Jakarta]","0.0","0.59"
"Product Categories","DELETE - As user I have be able to delete a category","FAILURE","2023-05-10T00:35:54.4861405+07:00[Asia/Jakarta]","0.0","0.28"
"Hello","GET - As user I have be able to get data hello","SUCCESS","2023-05-10T00:35:54.814587+07:00[Asia/Jakarta]","0.0","0.29"
