"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - As user I have be able to to get new user data from the register feature","FAILURE","2023-05-07T00:21:32.209908+07:00[Asia/Jakarta]","0.0","7.98"
"Authentication","POST - As user I have be able to to get token data from the login feature","FAILURE","2023-05-07T00:21:40.3032491+07:00[Asia/Jakarta]","0.0","1.75"
"Authentication","GET - As user I have be able to get user information","SUCCESS","2023-05-07T00:21:42.1193921+07:00[Asia/Jakarta]","0.0","1.19"
"Products","POST - As user I have be able to create a new product","FAILURE","2023-05-07T00:21:43.3477464+07:00[Asia/Jakarta]","0.0","0.43"
"Products","GET - As user I have be able to get detail products","SUCCESS","2023-05-07T00:21:43.8123665+07:00[Asia/Jakarta]","0.0","0.69"
"Products","GET - As user I have be able to get a product by ID","SUCCESS","2023-05-07T00:21:44.5285258+07:00[Asia/Jakarta]","0.0","0.36"
"Products","DELETE - As user I have be able to delete a product","FAILURE","2023-05-07T00:21:44.9152084+07:00[Asia/Jakarta]","0.0","0.32"
"Products","POST - As user I have be able to assign a product rating","FAILURE","2023-05-07T00:21:45.2680667+07:00[Asia/Jakarta]","0.0","0.62"
"Products","GET - As user I have be able to get product ratings","SUCCESS","2023-05-07T00:21:45.9051882+07:00[Asia/Jakarta]","0.0","0.28"
"Products","POST - As user I have be able to create a comment for product","FAILURE","2023-05-07T00:21:46.224423+07:00[Asia/Jakarta]","0.0","0.54"
"Products","GET - As user I have be able to get product comments","SUCCESS","2023-05-07T00:21:46.7969462+07:00[Asia/Jakarta]","0.0","0.34"
"Orders","POST - As user I have be able to to create a new order","FAILURE","2023-05-07T00:21:47.1789782+07:00[Asia/Jakarta]","0.0","0.58"
"Orders","GET - As user I have be able to get all orders","SUCCESS","2023-05-07T00:21:47.7860282+07:00[Asia/Jakarta]","0.0","1.75"
"Orders","GET - As user I have be able to get order by ID","SUCCESS","2023-05-07T00:21:49.5679313+07:00[Asia/Jakarta]","0.0","0.72"
