"Story","Title","Result","Date","Stability","Duration (s)"
"login","user tidak bisa login karena akunnya belum terdaftar","SUCCESS","2023-05-10T00:49:09.0158689+07:00[Asia/Jakarta]","0.0","19.7"
"login","user bisa login dengan data valid","SUCCESS","2023-05-10T00:49:29.1651277+07:00[Asia/Jakarta]","0.0","6.8"
"login","user tidak bisa login karena menggunakan password yang salah","SUCCESS","2023-05-10T00:49:36.216113+07:00[Asia/Jakarta]","0.0","8.34"
"login","user tidak bisa login karena menggunakan email yang salah","SUCCESS","2023-05-10T00:49:44.7814306+07:00[Asia/Jakarta]","0.0","6.49"
"login","user tidak bisa login karena tidak mengisi email","SUCCESS","2023-05-10T00:49:51.4833288+07:00[Asia/Jakarta]","0.0","6.14"
"login","user tidak bisa login karena tidak mengisi password","SUCCESS","2023-05-10T00:49:57.8474287+07:00[Asia/Jakarta]","0.0","6.7"
"register","user tidak bisa register karena nama email sudah terdaftar","SUCCESS","2023-05-10T00:50:04.815643+07:00[Asia/Jakarta]","0.0","10.41"
"register","user tidak bisa register karena tidak input nama lengkap","SUCCESS","2023-05-10T00:50:15.4458004+07:00[Asia/Jakarta]","0.0","6.5"
"register","user tidak bisa register karena tidak input email","SUCCESS","2023-05-10T00:50:22.2063844+07:00[Asia/Jakarta]","0.0","9.25"
"register","user tidak bisa register karena tidak input password","SUCCESS","2023-05-10T00:50:31.6955952+07:00[Asia/Jakarta]","0.0","9.59"
"register","user bisa register","SUCCESS","2023-05-10T00:50:41.5198541+07:00[Asia/Jakarta]","0.0","10.51"
"Transaksi","user bisa melakukan pencarian produk dari listdown categories","SUCCESS","2023-05-10T00:51:07.7447901+07:00[Asia/Jakarta]","0.0","16.03"
