"Story","Title","Result","Date","Stability","Duration (s)"
"login","user bisa login dengan data valid","SUCCESS","2023-05-10T15:26:12.4648019+07:00[Asia/Jakarta]","0.0","8.63"
"login","user tidak bisa login karena menggunakan password yang salah","SUCCESS","2023-05-10T15:26:21.3443953+07:00[Asia/Jakarta]","0.0","7.07"
"login","user tidak bisa login karena menggunakan email yang salah","SUCCESS","2023-05-10T15:26:28.6018027+07:00[Asia/Jakarta]","0.0","6.48"
"login","user tidak bisa login karena tidak mengisi email","SUCCESS","2023-05-10T15:26:35.2771712+07:00[Asia/Jakarta]","0.0","6.47"
"login","user tidak bisa login karena tidak mengisi password","SUCCESS","2023-05-10T15:26:41.9525497+07:00[Asia/Jakarta]","0.0","6.0"
"register","user tidak bisa register karena nama email sudah terdaftar","SUCCESS","2023-05-10T15:26:48.1428259+07:00[Asia/Jakarta]","0.0","7.43"
"register","user tidak bisa register karena tidak input nama lengkap","SUCCESS","2023-05-10T15:26:55.7470289+07:00[Asia/Jakarta]","0.0","6.7"
"register","user tidak bisa register karena tidak input email","SUCCESS","2023-05-10T15:27:02.631156+07:00[Asia/Jakarta]","0.0","7.04"
"register","user tidak bisa register karena tidak input password","SUCCESS","2023-05-10T15:27:09.8615265+07:00[Asia/Jakarta]","0.0","6.5"
"register","user bisa register","SUCCESS","2023-05-10T15:27:16.5657246+07:00[Asia/Jakarta]","0.0","7.24"
"Transaksi","user bisa melihat riwayat transaksi","SUCCESS","2023-05-10T15:27:37.0211854+07:00[Asia/Jakarta]","0.0","8.48"
"Transaksi","user bisa menghapus produk dari keranjang belanja","SUCCESS","2023-05-10T15:27:57.0475671+07:00[Asia/Jakarta]","0.0","9.97"
