"Story","Title","Result","Date","Stability","Duration (s)"
"login","user tidak bisa login karena akunnya belum terdaftar","SUCCESS","2023-05-08T10:01:09.158475+07:00[Asia/Jakarta]","0.0","32.56"
"login","user bisa login dengan data valid","SUCCESS","2023-05-08T10:01:42.4414187+07:00[Asia/Jakarta]","0.0","10.73"
"login","user tidak bisa login karena menggunakan password yang salah","SUCCESS","2023-05-08T10:01:53.7680172+07:00[Asia/Jakarta]","0.0","9.66"
"login","user tidak bisa login karena menggunakan email yang salah","SUCCESS","2023-05-08T10:02:03.7349705+07:00[Asia/Jakarta]","0.0","9.29"
"login","user tidak bisa login karena tidak mengisi email","SUCCESS","2023-05-08T10:02:13.3387899+07:00[Asia/Jakarta]","0.0","9.21"
"login","user tidak bisa login karena tidak mengisi password","SUCCESS","2023-05-08T10:02:22.9105873+07:00[Asia/Jakarta]","0.0","9.05"
"register","user tidak bisa register karena nama email sudah terdaftar","SUCCESS","2023-05-08T10:02:32.31044+07:00[Asia/Jakarta]","0.0","10.43"
"register","user tidak bisa register karena tidak input nama lengkap","SUCCESS","2023-05-08T10:02:43.1240216+07:00[Asia/Jakarta]","0.0","13.32"
"register","user tidak bisa register karena tidak input email","SUCCESS","2023-05-08T10:02:57.0921489+07:00[Asia/Jakarta]","0.0","10.03"
"register","user tidak bisa register karena tidak input password","SUCCESS","2023-05-08T10:03:07.5595856+07:00[Asia/Jakarta]","0.0","9.81"
"register","user bisa register","SUCCESS","2023-05-08T10:03:17.6621775+07:00[Asia/Jakarta]","0.0","9.57"
"Transaksi","user bisa membayar produk yang diinginkan","SUCCESS","2023-05-08T10:03:27.6024998+07:00[Asia/Jakarta]","0.0","14.88"
"Transaksi","user bisa melakukan pencarian produk dari listdown categories","ERROR","2023-05-08T10:03:42.9820996+07:00[Asia/Jakarta]","0.0","16.04"
"Transaksi","user bisa melihat riwayat transaksi","FAILURE","2023-05-08T10:03:59.3762168+07:00[Asia/Jakarta]","0.0","15.4"
"Transaksi","user bisa Mengubah Jumlah Produk pada Keranjang Belanja","SUCCESS","2023-05-08T10:04:15.2292876+07:00[Asia/Jakarta]","0.0","14.18"
"Transaksi","user bisa menghapus produk dari keranjang belanja","SUCCESS","2023-05-08T10:04:29.7283069+07:00[Asia/Jakarta]","0.0","13.83"
